14 янв. 2025 12:38:37,650 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@31d1feea
14 янв. 2025 13:05:49,390 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,0)
14 янв. 2025 13:05:49,795 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,1), value : Ди
14 янв. 2025 13:05:49,802 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,1)
14 янв. 2025 13:05:49,858 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,2), value : Дин
14 янв. 2025 13:05:49,862 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,2)
14 янв. 2025 13:05:49,867 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1406425908 - HockeyStats.team,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]]
14 янв. 2025 13:05:50,067 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,3), value : Дина
14 янв. 2025 13:05:50,081 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,3)
14 янв. 2025 13:05:50,421 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,4), value : Динам
14 янв. 2025 13:05:50,427 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,4)
