14 янв. 2025 12:34:51,806 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,806 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,847 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,848 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,849 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,850 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,852 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,852 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,855 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,858 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,863 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,864 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:52,882 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:52,886 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:52,889 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:52,889 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:52,890 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:52,891 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:52,895 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:52,897 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:52,914 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:52,938 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:52,946 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:52,959 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:52,999 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:53,014 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:53,042 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:53,241 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:53,242 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:53,249 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:53,252 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:53,254 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:53,258 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:53,401 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5360, Current connections count : 4
14 янв. 2025 12:34:53,612 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,614 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,615 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,616 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,617 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,618 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,618 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,619 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,619 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,620 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,620 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,622 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,622 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,623 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,623 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,626 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5264, Current connections count : 4
